Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-10-16 14:20,sl1|exit_reason=be|mfe_r=1.103332,658.44,56,36870.4,-2.24,-0.01,0,53.2,0.14,-26.88,-0.07,-2.24,-0.01,2
1,Entry short,2025-10-16 14:10,sl1|setup=pdl_break|side=short|grade=B|size=half|score=4|window=power|tier=core|rvol=1.693549|rs_vs_spy=0|gap_atr=0.243627|ext_atr=0.760029|risk_atr=0.122392,658.4,56,36870.4,-2.24,-0.01,0,53.2,0.14,-26.88,-0.07,-2.24,-0.01,2
2,Exit short,2025-11-07 09:55,sl1|exit_reason=stop|mfe_r=0.073355,666.57,24,15947.52,-50.16,-0.31,0,3.12,0.02,-50.16,-0.31,-52.4,-0.21,4
2,Entry short,2025-11-07 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=1.504494|rs_vs_spy=0|gap_atr=-0.328305|ext_atr=0.215041|risk_atr=0.288127,664.48,24,15947.52,-50.16,-0.31,0,3.12,0.02,-50.16,-0.31,-52.4,-0.21,4
3,Exit long,2025-11-07 15:25,sl1|exit_reason=time|mfe_r=0.045794,668.66,17,11388.81,-21.59,-0.19,0,1.87,0.02,-33.83,-0.30,-73.99,-0.30,6
3,Entry long,2025-11-07 14:55,sl1|setup=hod_break|side=long|grade=B|size=half|score=3|window=power|tier=core|rvol=1.500895|rs_vs_spy=0|gap_atr=-0.328305|ext_atr=0.689437|risk_atr=0.4,669.93,17,11388.81,-21.59,-0.19,0,1.87,0.02,-33.83,-0.30,-73.99,-0.30,6
4,Exit short,2025-11-18 09:45,sl1|exit_reason=stop|mfe_r=0,662.61,67,44342.61,-52.26,-0.12,0,72.36,0.16,-52.26,-0.12,-126.25,-0.50,1
4,Entry short,2025-11-18 09:40,sl1|setup=pdl_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=1.519978|rs_vs_spy=0|gap_atr=-0.439627|ext_atr=0.10774|risk_atr=0.090468,661.83,67,44342.61,-52.26,-0.12,0,72.36,0.16,-52.26,-0.12,-126.25,-0.50,1
5,Exit short,2025-11-20 15:50,sl1|exit_reason=eod|mfe_r=0.457448,653.01,16,10453.28,5.12,0.05,0,21.76,0.21,-7.36,-0.07,-121.13,-0.48,2
5,Entry short,2025-11-20 15:40,sl1|setup=lod_break|side=short|grade=B|size=half|score=3|window=power|tier=core|rvol=2.156209|rs_vs_spy=0|gap_atr=1.235552|ext_atr=1.07189|risk_atr=0.363642,653.33,16,10453.28,5.12,0.05,0,21.76,0.21,-7.36,-0.07,-121.13,-0.48,2
6,Exit short,2025-12-17 09:45,sl1|exit_reason=be|mfe_r=0.926859,678.83,66,44800.14,-2.64,-0.01,0,44.88,0.10,-25.74,-0.06,-123.77,-0.50,2
6,Entry short,2025-12-17 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=1.582187|rs_vs_spy=0|gap_atr=0.139635|ext_atr=0.088918|risk_atr=0.10339,678.79,66,44800.14,-2.64,-0.01,0,44.88,0.10,-25.74,-0.06,-123.77,-0.50,2
7,Exit short,2025-12-18 14:30,sl1|exit_reason=time|mfe_r=0.256543,676.42,29,19626.62,10.44,0.05,0,11.89,0.06,-40.89,-0.21,-113.33,-0.45,6
7,Entry short,2025-12-18 14:00,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=3|window=power|tier=core|rvol=1.591478|rs_vs_spy=0|gap_atr=0.846432|ext_atr=0.175196|risk_atr=0.225196,676.78,29,19626.62,10.44,0.05,0,11.89,0.06,-40.89,-0.21,-113.33,-0.45,6
8,Exit long,2025-12-18 15:50,sl1|exit_reason=stop|mfe_r=0.494427,677.44,68,46118.28,-52.36,-0.11,0,23.12,0.05,-52.36,-0.11,-165.69,-0.66,4
8,Entry long,2025-12-18 15:30,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=1.544313|rs_vs_spy=0|gap_atr=0.846432|ext_atr=0.047825|risk_atr=0.097825,678.21,68,46118.28,-52.36,-0.11,0,23.12,0.05,-52.36,-0.11,-165.69,-0.66,4
