Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-10-14 09:50,sl1|exit_reason=stop|mfe_r=0.473703,245.78,76,18626.08,-53.2,-0.29,0,22.04,0.12,-53.2,-0.29,-53.2,-0.21,2
1,Entry short,2025-10-14 09:40,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.500122|rs_vs_spy=-0.089381|gap_atr=-0.218343|ext_atr=0.215407|risk_atr=0.145803,245.08,76,18626.08,-53.2,-0.29,0,22.04,0.12,-53.2,-0.29,-53.2,-0.21,2
2,Exit long,2025-10-15 10:40,sl1|exit_reason=be|mfe_r=1.432095,250.74,68,17053.04,-2.72,-0.02,0,70.04,0.41,-2.72,-0.02,-55.92,-0.22,9
2,Entry long,2025-10-15 09:55,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.616786|rs_vs_spy=0.32186|gap_atr=0.358436|ext_atr=0.224951|risk_atr=0.164252,250.78,68,17053.04,-2.72,-0.02,0,70.04,0.41,-2.72,-0.02,-55.92,-0.22,9
3,Exit long,2025-10-15 15:10,sl1|exit_reason=stop|mfe_r=0.364037,249.5,140,34986,-56,-0.16,0,15.4,0.04,-56,-0.16,-111.92,-0.45,4
3,Entry long,2025-10-15 14:50,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=power|tier=neutral|rvol=0.667913|rs_vs_spy=0.391916|gap_atr=0.358436|ext_atr=0.002457|risk_atr=0.08,249.9,140,34986,-56,-0.16,0,15.4,0.04,-56,-0.16,-111.92,-0.45,4
4,Exit short,2025-10-16 09:55,sl1|exit_reason=be|mfe_r=0.785511,247.62,140,34661.2,-5.6,-0.02,0,36.4,0.11,-46.2,-0.13,-117.52,-0.47,2
4,Entry short,2025-10-16 09:45,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.934858|rs_vs_spy=-0.253474|gap_atr=-0.245753|ext_atr=0.022478|risk_atr=0.08,247.58,140,34661.2,-5.6,-0.02,0,36.4,0.11,-46.2,-0.13,-117.52,-0.47,2
5,Exit long,2025-10-17 10:55,sl1|exit_reason=stop|mfe_r=0.578292,248.89,56,13989.92,-52.08,-0.37,0,27.44,0.20,-52.08,-0.37,-169.6,-0.68,9
5,Entry long,2025-10-17 10:10,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.740934|rs_vs_spy=0.185525|gap_atr=0.121672|ext_atr=0.309179|risk_atr=0.198711,249.82,56,13989.92,-52.08,-0.37,0,27.44,0.20,-52.08,-0.37,-169.6,-0.68,9
6,Exit long,2025-10-17 15:50,sl1|exit_reason=trail|mfe_r=1.992945,252.39,51,12825.48,46.41,0.36,0,96.9,0.76,-1.02,-0.01,-123.19,-0.49,22
