Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-10-14 09:45,sl1|exit_reason=stop|mfe_r=0,702.22,36,25228.8,-51.12,-0.20,0,0,0.00,-51.12,-0.20,-51.12,-0.20,1
1,Entry short,2025-10-14 09:40,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.515548|rs_vs_spy=-0.48125|gap_atr=-0.440585|ext_atr=0.089029|risk_atr=0.08,700.8,36,25228.8,-51.12,-0.20,0,0,0.00,-51.12,-0.20,-51.12,-0.20,1
2,Exit long,2025-10-14 10:10,sl1|exit_reason=be|mfe_r=0.914659,708.88,28,19849.76,-1.12,-0.01,0,44.52,0.22,-28.56,-0.14,-52.24,-0.21,2
2,Entry long,2025-10-14 10:00,sl1|setup=orb_break|side=long|grade=B|size=half|score=3|window=open|tier=core|rvol=0.497945|rs_vs_spy=0.083439|gap_atr=-0.440585|ext_atr=0.338184|risk_atr=0.102312,708.92,28,19849.76,-1.12,-0.01,0,44.52,0.22,-28.56,-0.14,-52.24,-0.21,2
3,Exit short,2025-10-14 15:50,sl1|exit_reason=trail|mfe_r=1.721457,706.82,25,17703.75,33.25,0.19,0,83.75,0.47,-2.5,-0.01,-18.99,-0.08,3
3,Entry short,2025-10-14 15:35,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=power|tier=core|rvol=0.451001|rs_vs_spy=-0.855083|gap_atr=-0.440585|ext_atr=0.063787|risk_atr=0.113787,708.15,25,17703.75,33.25,0.19,0,83.75,0.47,-2.5,-0.01,-18.99,-0.08,3
4,Exit long,2025-10-15 09:45,sl1|exit_reason=be|mfe_r=1.277382,717.05,21,15058.89,-0.84,-0.01,0,61.74,0.41,-0.84,-0.01,-19.83,-0.08,2
4,Entry long,2025-10-15 09:35,sl1|setup=pdh_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.501195|rs_vs_spy=0.025599|gap_atr=0.49811|ext_atr=0.086756|risk_atr=0.135157,717.09,21,15058.89,-0.84,-0.01,0,61.74,0.41,-0.84,-0.01,-19.83,-0.08,2
5,Exit long,2025-10-15 15:25,sl1|exit_reason=stop|mfe_r=0.145817,716.6,36,25848.72,-51.12,-0.20,0,6.48,0.03,-51.12,-0.20,-70.95,-0.28,5
5,Entry long,2025-10-15 15:00,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=0.598259|rs_vs_spy=0.347248|gap_atr=0.49811|ext_atr=0.005872|risk_atr=0.08,718.02,36,25848.72,-51.12,-0.20,0,6.48,0.03,-51.12,-0.20,-70.95,-0.28,5
6,Exit long,2025-10-16 09:50,sl1|exit_reason=trail|mfe_r=2.144129,724,34,24561.26,54.74,0.22,0,105.06,0.43,-13.26,-0.05,-16.21,-0.06,2
6,Entry long,2025-10-16 09:40,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.48779|rs_vs_spy=0.641441|gap_atr=-0.030277|ext_atr=0.088551|risk_atr=0.085275,722.39,34,24561.26,54.74,0.22,0,105.06,0.43,-13.26,-0.05,-16.21,-0.06,2
7,Exit short,2025-10-16 14:40,sl1|exit_reason=be|mfe_r=0.983756,708.1,11,7788.66,-0.44,-0.01,0,45.1,0.58,-3.19,-0.04,-16.65,-0.07,8
7,Entry short,2025-10-16 14:00,sl1|setup=lod_break|side=short|grade=B|size=half|score=4|window=power|tier=core|rvol=0.663724|rs_vs_spy=-0.28907|gap_atr=-0.030277|ext_atr=0.574704|risk_atr=0.246517,708.06,11,7788.66,-0.44,-0.01,0,45.1,0.58,-3.19,-0.04,-16.65,-0.07,8
8,Exit long,2025-10-17 09:40,sl1|exit_reason=stop|mfe_r=0,709.39,25,17785.25,-50.5,-0.28,0,27.25,0.15,-50.5,-0.28,-67.15,-0.27,1
8,Entry long,2025-10-17 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=3|window=open|tier=core|rvol=0.574398|rs_vs_spy=0.560223|gap_atr=-0.276559|ext_atr=0.071295|risk_atr=0.113733,711.41,25,17785.25,-50.5,-0.28,0,27.25,0.15,-50.5,-0.28,-67.15,-0.27,1
9,Exit long,2025-10-17 14:45,sl1|exit_reason=time|mfe_r=0.232624,716.36,12,8597.16,-0.84,-0.01,0,10.8,0.13,-12,-0.14,-67.99,-0.27,6
9,Entry long,2025-10-17 14:15,sl1|setup=hod_break|side=long|grade=B|size=half|score=3|window=power|tier=core|rvol=0.578354|rs_vs_spy=0.552991|gap_atr=-0.276559|ext_atr=0.284079|risk_atr=0.228104,716.43,12,8597.16,-0.84,-0.01,0,10.8,0.13,-12,-0.14,-67.99,-0.27,6
10,Exit long,2025-10-20 09:55,sl1|exit_reason=trail|mfe_r=1.550785,728.38,19,13813,26.22,0.19,0,79.8,0.58,-0.38,0.00,-41.77,-0.17,2
10,Entry long,2025-10-20 09:45,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.716169|rs_vs_spy=0.500834|gap_atr=0.246663|ext_atr=0.15849|risk_atr=0.151844,727,19,13813,26.22,0.19,0,79.8,0.58,-0.38,0.00,-41.77,-0.17,2
11,Exit short,2025-10-21 09:50,sl1|exit_reason=stop|mfe_r=0,735.07,23,16857.16,-49.45,-0.29,0,7.82,0.05,-49.45,-0.29,-91.22,-0.36,1
