Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-10-14 09:55,sl1|exit_reason=be|mfe_r=0.866473,187.88,66,12402.72,-2.64,-0.02,0,49.5,0.40,-17.82,-0.14,-2.64,-0.01,2
1,Entry long,2025-10-14 09:45,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=3|window=open|tier=core|rvol=0.420706|rs_vs_spy=0.919112|gap_atr=-0.616396|ext_atr=0.020461|risk_atr=0.08,187.92,66,12402.72,-2.64,-0.02,0,49.5,0.40,-17.82,-0.14,-2.64,-0.01,2
2,Exit short,2025-10-15 10:05,sl1|exit_reason=be|mfe_r=0.954045,189.77,47,8917.31,-1.88,-0.02,0,46.53,0.52,-46.53,-0.52,-4.52,-0.02,6
2,Entry short,2025-10-15 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=3|window=open|tier=core|rvol=0.331326|rs_vs_spy=-1.375968|gap_atr=0.589773|ext_atr=0.114187|risk_atr=0.115409,189.73,47,8917.31,-1.88,-0.02,0,46.53,0.52,-46.53,-0.52,-4.52,-0.02,6
3,Exit short,2025-10-16 09:40,sl1|exit_reason=stop|mfe_r=0,197.57,88,17283.2,-102.96,-0.60,0,27.28,0.16,-102.96,-0.60,-107.48,-0.43,1
3,Entry short,2025-10-16 09:35,sl1|setup=orb_break|side=short|grade=A|size=full|score=4|window=open|tier=core|rvol=1.97775|rs_vs_spy=-1.729832|gap_atr=0.887109|ext_atr=0.275001|risk_atr=0.126118,196.4,88,17283.2,-102.96,-0.60,0,27.28,0.16,-102.96,-0.60,-107.48,-0.43,1
4,Exit long,2025-10-16 10:20,sl1|exit_reason=trail|mfe_r=1.567133,202.43,69,13943.52,24.15,0.17,0,75.9,0.54,-40.02,-0.29,-83.33,-0.33,1
4,Entry long,2025-10-16 10:15,sl1|setup=orb_break|side=long|grade=A|size=half|score=5|window=midday|tier=core|rvol=1.740887|rs_vs_spy=1.106505|gap_atr=0.887109|ext_atr=0.352788|risk_atr=0.08,202.08,69,13943.52,24.15,0.17,0,75.9,0.54,-40.02,-0.29,-83.33,-0.33,1
5,Exit short,2025-10-16 14:40,sl1|exit_reason=time|mfe_r=0.406891,201.62,30,6020.7,-27.9,-0.46,0,19.2,0.32,-35.1,-0.58,-111.23,-0.44,6
5,Entry short,2025-10-16 14:10,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=3|window=power|tier=core|rvol=1.785579|rs_vs_spy=1.665363|gap_atr=0.887109|ext_atr=0.13157|risk_atr=0.18157,200.69,30,6020.7,-27.9,-0.46,0,19.2,0.32,-35.1,-0.58,-111.23,-0.44,6
6,Exit short,2025-10-17 09:45,sl1|exit_reason=stop|mfe_r=0,198.25,66,13031.7,-52.8,-0.41,0,39.6,0.30,-52.8,-0.41,-164.03,-0.66,1
6,Entry short,2025-10-17 09:40,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.695419|rs_vs_spy=-0.713185|gap_atr=-0.361434|ext_atr=0.139939|risk_atr=0.081103,197.45,66,13031.7,-52.8,-0.41,0,39.6,0.30,-52.8,-0.41,-164.03,-0.66,1
7,Exit long,2025-10-17 10:15,sl1|exit_reason=stop|mfe_r=0.260446,200.01,28,5650.96,-50.68,-0.90,0,12.32,0.22,-50.68,-0.90,-214.71,-0.86,3
7,Entry long,2025-10-17 10:00,sl1|setup=orb_retest|side=long|grade=B|size=half|score=3|window=open|tier=core|rvol=1.005584|rs_vs_spy=1.103214|gap_atr=-0.361434|ext_atr=0.20571|risk_atr=0.189425,201.82,28,5650.96,-50.68,-0.90,0,12.32,0.22,-50.68,-0.90,-214.71,-0.86,3
8,Exit short,2025-10-20 09:50,sl1|exit_reason=stop|mfe_r=0,209.7,54,11222.82,-100.98,-0.90,0,0,0.00,-100.98,-0.90,-315.69,-1.26,1
8,Entry short,2025-10-20 09:45,sl1|setup=orb_break|side=short|grade=A|size=full|score=4|window=open|tier=core|rvol=1.605543|rs_vs_spy=-1.212234|gap_atr=0.802779|ext_atr=0.304047|risk_atr=0.197538,207.83,54,11222.82,-100.98,-0.90,0,0,0.00,-100.98,-0.90,-315.69,-1.26,1
9,Exit short,2025-10-20 14:55,sl1|exit_reason=time|mfe_r=0.474178,206.14,38,7832.18,-1.14,-0.01,0,22.8,0.29,-7.22,-0.09,-316.83,-1.27,6
9,Entry short,2025-10-20 14:25,sl1|setup=lod_break|side=short|grade=B|size=half|score=3|window=power|tier=core|rvol=0.927909|rs_vs_spy=-2.420272|gap_atr=0.802779|ext_atr=0.331625|risk_atr=0.141845,206.11,38,7832.18,-1.14,-0.01,0,22.8,0.29,-7.22,-0.09,-316.83,-1.27,6
10,Exit short,2025-10-21 09:45,sl1|exit_reason=stop|mfe_r=0,203.41,31,6255.18,-50.53,-0.81,0,10.85,0.17,-50.53,-0.81,-367.36,-1.47,1
10,Entry short,2025-10-21 09:40,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.650583|rs_vs_spy=-1.152413|gap_atr=-0.266331|ext_atr=0.180388|risk_atr=0.167546,201.78,31,6255.18,-50.53,-0.81,0,10.85,0.17,-50.53,-0.81,-367.36,-1.47,1
11,Exit long,2025-10-22 10:10,sl1|exit_reason=stop|mfe_r=0.048116,202.49,17,3492.48,-50.15,-1.44,0,2.04,0.06,-50.15,-1.44,-417.51,-1.67,6
11,Entry long,2025-10-22 09:40,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.522918|rs_vs_spy=1.476747|gap_atr=0.027741|ext_atr=0.314791|risk_atr=0.316531,205.44,17,3492.48,-50.15,-1.44,0,2.04,0.06,-50.15,-1.44,-417.51,-1.67,6
12,Exit long,2025-10-23 10:00,sl1|exit_reason=trail|mfe_r=1.785831,203.47,20,4031.6,37.8,0.94,0,87.6,2.17,-25.2,-0.63,-379.71,-1.52,5
12,Entry long,2025-10-23 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=1.057837|rs_vs_spy=2.426965|gap_atr=-0.206294|ext_atr=0.24308|risk_atr=0.259987,201.58,20,4031.6,37.8,0.94,0,87.6,2.17,-25.2,-0.63,-379.71,-1.52,5
13,Exit long,2025-10-23 15:40,sl1|exit_reason=time|mfe_r=0.224812,205.43,38,7829.14,-22.8,-0.29,0,10.26,0.13,-24.7,-0.32,-402.51,-1.61,6
13,Entry long,2025-10-23 15:10,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=0.859326|rs_vs_spy=4.144826|gap_atr=-0.206294|ext_atr=0.292799|risk_atr=0.136119,206.03,38,7829.14,-22.8,-0.29,0,10.26,0.13,-24.7,-0.32,-402.51,-1.61,6
14,Exit long,2025-10-24 10:25,sl1|exit_reason=be|mfe_r=1.066764,214.13,47,10065.99,-1.88,-0.02,0,52.17,0.52,-47,-0.47,-404.39,-1.62,9
14,Entry long,2025-10-24 09:40,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=1.434972|rs_vs_spy=0.707449|gap_atr=0.583512|ext_atr=0.109299|risk_atr=0.108249,214.17,47,10065.99,-1.88,-0.02,0,52.17,0.52,-47,-0.47,-404.39,-1.62,9
15,Exit long,2025-10-24 14:45,sl1|exit_reason=be|mfe_r=0.80743,217.8,38,8277.92,-1.52,-0.02,0,38.76,0.47,-2.66,-0.03,-405.91,-1.62,4
15,Entry long,2025-10-24 14:25,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=1.257298|rs_vs_spy=2.306795|gap_atr=0.583512|ext_atr=0.23725|risk_atr=0.131626,217.84,38,8277.92,-1.52,-0.02,0,38.76,0.47,-2.66,-0.03,-405.91,-1.62,4
16,Exit long,2025-10-24 15:30,sl1|exit_reason=time|mfe_r=0.060069,218.58,24,5266.08,-20.16,-0.38,0,2.64,0.05,-21.6,-0.41,-426.07,-1.70,6
16,Entry long,2025-10-24 15:00,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=1.340764|rs_vs_spy=3.021145|gap_atr=0.583512|ext_atr=0.36417|risk_atr=0.212656,219.42,24,5266.08,-20.16,-0.38,0,2.64,0.05,-21.6,-0.41,-426.07,-1.70,6
17,Exit short,2025-10-27 09:40,sl1|exit_reason=stop|mfe_r=0,222.1,62,13717.5,-52.7,-0.38,0,45.88,0.33,-52.7,-0.38,-478.77,-1.92,1
17,Entry short,2025-10-27 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=3|window=open|tier=core|rvol=1.270082|rs_vs_spy=-1.586381|gap_atr=0.579665|ext_atr=0.166015|risk_atr=0.08,221.25,62,13717.5,-52.7,-0.38,0,45.88,0.33,-52.7,-0.38,-478.77,-1.92,1
18,Exit short,2025-10-29 09:45,sl1|exit_reason=stop|mfe_r=0.721175,228.51,39,8860.8,-51.09,-0.58,0,34.71,0.39,-51.09,-0.58,-529.86,-2.12,2
18,Entry short,2025-10-29 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=3|window=open|tier=core|rvol=0.89119|rs_vs_spy=-0.822897|gap_atr=0.745596|ext_atr=0.149374|risk_atr=0.130941,227.2,39,8860.8,-51.09,-0.58,0,34.71,0.39,-51.09,-0.58,-529.86,-2.12,2
19,Exit short,2025-10-30 09:45,sl1|exit_reason=stop|mfe_r=0.065767,223.98,19,4205.65,-49.97,-1.19,0,2.85,0.07,-49.97,-1.19,-579.83,-2.32,2
19,Entry short,2025-10-30 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.591168|rs_vs_spy=-1.898989|gap_atr=-0.032998|ext_atr=0.224378|risk_atr=0.26655,221.35,19,4205.65,-49.97,-1.19,0,2.85,0.07,-49.97,-1.19,-579.83,-2.32,2
20,Exit long,2025-10-31 09:40,sl1|exit_reason=be|mfe_r=0.948446,230.33,58,13365.52,-6.38,-0.05,0,45.82,0.34,-19.14,-0.14,-586.21,-2.34,1
20,Entry long,2025-10-31 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.504076|rs_vs_spy=1.304672|gap_atr=0.385525|ext_atr=0.076309|risk_atr=0.090082,230.44,58,13365.52,-6.38,-0.05,0,45.82,0.34,-19.14,-0.14,-586.21,-2.34,1
21,Exit short,2025-10-31 10:05,sl1|exit_reason=stop|mfe_r=0,227.48,65,14734.2,-52,-0.35,0,16.9,0.11,-52,-0.35,-638.21,-2.55,1
21,Entry short,2025-10-31 10:00,sl1|setup=orb_break|side=short|grade=B|size=half|score=3|window=open|tier=core|rvol=0.541015|rs_vs_spy=-0.096843|gap_atr=0.385525|ext_atr=0.249051|risk_atr=0.08,226.68,65,14734.2,-52,-0.35,0,16.9,0.11,-52,-0.35,-638.21,-2.55,1
22,Exit long,2025-11-03 10:10,sl1|exit_reason=stop|mfe_r=0.65781,233.61,64,15003.52,-52.48,-0.35,0,31.36,0.21,-52.48,-0.35,-690.69,-2.76,2
22,Entry long,2025-11-03 10:00,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=1.005572|rs_vs_spy=0.702977|gap_atr=1.053527|ext_atr=0.019813|risk_atr=0.08,234.43,64,15003.52,-52.48,-0.35,0,31.36,0.21,-52.48,-0.35,-690.69,-2.76,2
23,Exit short,2025-11-04 15:00,sl1|exit_reason=stop|mfe_r=0.400468,220.9,62,13643.72,-52.08,-0.38,0,18.6,0.14,-52.08,-0.38,-742.77,-2.97,4
23,Entry short,2025-11-04 14:40,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=power|tier=core|rvol=1.186708|rs_vs_spy=-0.756569|gap_atr=-1.24896|ext_atr=0.389102|risk_atr=0.08,220.06,62,13643.72,-52.08,-0.38,0,18.6,0.14,-52.08,-0.38,-742.77,-2.97,4
24,Exit short,2025-11-04 15:50,sl1|exit_reason=eod|mfe_r=0.852491,217.92,24,5265.12,35.04,0.67,0,41.52,0.79,-14.4,-0.27,-707.73,-2.83,6
24,Entry short,2025-11-04 15:20,sl1|setup=lod_break|side=short|grade=B|size=half|score=4|window=power|tier=core|rvol=1.203795|rs_vs_spy=-1.121809|gap_atr=-1.24896|ext_atr=0.422949|risk_atr=0.205521,219.38,24,5265.12,35.04,0.67,0,41.52,0.79,-14.4,-0.27,-707.73,-2.83,6
25,Exit long,2025-11-05 09:55,sl1|exit_reason=trail|mfe_r=2.558953,233.45,24,5526.96,75.84,1.37,0,125.76,2.28,-21.12,-0.38,-631.89,-2.53,4
25,Entry long,2025-11-05 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=1.395821|rs_vs_spy=2.128103|gap_atr=0.710237|ext_atr=0.22406|risk_atr=0.195568,230.29,24,5526.96,75.84,1.37,0,125.76,2.28,-21.12,-0.38,-631.89,-2.53,4
26,Exit long,2025-11-05 15:50,sl1|exit_reason=eod|mfe_r=1.17159,238.81,30,7140,24.3,0.34,0,56.4,0.79,-8.7,-0.12,-607.59,-2.43,18
26,Entry long,2025-11-05 14:20,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=1.463172|rs_vs_spy=4.736416|gap_atr=0.710237|ext_atr=0.362983|risk_atr=0.154295,238,30,7140,24.3,0.34,0,56.4,0.79,-8.7,-0.12,-607.59,-2.43,18
27,Exit long,2025-11-06 09:50,sl1|exit_reason=be|mfe_r=0.84867,243.44,14,3408.72,-0.56,-0.02,0,41.02,1.20,-9.52,-0.28,-608.15,-2.43,3
27,Entry long,2025-11-06 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=1.134552|rs_vs_spy=2.411512|gap_atr=0.016784|ext_atr=0.265211|risk_atr=0.307055,243.48,14,3408.72,-0.56,-0.02,0,41.02,1.20,-9.52,-0.28,-608.15,-2.43,3
28,Exit long,2025-11-06 13:00,sl1|exit_reason=stop|mfe_r=0,238.96,23,5545.3,-49.22,-0.89,0,0,0.00,-49.22,-0.89,-657.37,-2.63,2
28,Entry long,2025-11-06 12:50,sl1|setup=vwap_reclaim|side=long|grade=A|size=half|score=5|window=midday|tier=core|rvol=1.616776|rs_vs_spy=2.221352|gap_atr=0.016784|ext_atr=0.135488|risk_atr=0.185488,241.1,23,5545.3,-49.22,-0.89,0,0,0.00,-49.22,-0.89,-657.37,-2.63,2
29,Exit long,2025-11-06 13:45,sl1|exit_reason=be|mfe_r=1.082105,239.75,55,13188.45,-2.2,-0.02,0,52.8,0.40,-2.2,-0.02,-659.57,-2.64,3
29,Entry long,2025-11-06 13:30,sl1|setup=vwap_reclaim|side=long|grade=A|size=half|score=5|window=midday|tier=core|rvol=1.604416|rs_vs_spy=1.668504|gap_atr=0.016784|ext_atr=0.024973|risk_atr=0.08,239.79,55,13188.45,-2.2,-0.02,0,52.8,0.40,-2.2,-0.02,-659.57,-2.64,3
30,Exit short,2025-11-07 09:40,sl1|exit_reason=stop|mfe_r=0,232.42,22,5012.48,-100.76,-2.01,0,2.86,0.06,-100.76,-2.01,-760.33,-3.04,1
30,Entry short,2025-11-07 09:35,sl1|setup=orb_break|side=short|grade=A|size=full|score=5|window=open|tier=core|rvol=1.694707|rs_vs_spy=-2.213154|gap_atr=-0.362578|ext_atr=0.348135|risk_atr=0.4,227.84,22,5012.48,-100.76,-2.01,0,2.86,0.06,-100.76,-2.01,-760.33,-3.04,1
31,Exit short,2025-11-07 11:20,sl1|exit_reason=trail|mfe_r=1.844148,229.63,15,3483.9,39.45,1.13,0,87.3,2.51,-2.85,-0.08,-720.88,-2.88,9
31,Entry short,2025-11-07 10:35,sl1|setup=pdl_retest|side=short|grade=A|size=half|score=5|window=midday|tier=core|rvol=1.76228|rs_vs_spy=-0.359139|gap_atr=-0.362578|ext_atr=0.257805|risk_atr=0.279368,232.26,15,3483.9,39.45,1.13,0,87.3,2.51,-2.85,-0.08,-720.88,-2.88,9
32,Exit long,2025-11-10 09:45,sl1|exit_reason=stop|mfe_r=0,254.42,107,27327.8,-104.86,-0.38,0,5.35,0.02,-104.86,-0.38,-825.74,-3.30,1
32,Entry long,2025-11-10 09:40,sl1|setup=orb_break|side=long|grade=A|size=full|score=5|window=open|tier=core|rvol=2.517585|rs_vs_spy=2.767838|gap_atr=0.862632|ext_atr=0.150023|risk_atr=0.08,255.4,107,27327.8,-104.86,-0.38,0,5.35,0.02,-104.86,-0.38,-825.74,-3.30,1
33,Exit long,2025-11-10 13:00,sl1|exit_reason=be|mfe_r=0.920426,254.41,53,13485.85,-2.12,-0.02,0,44.52,0.33,-20.14,-0.15,-827.86,-3.31,6
33,Entry long,2025-11-10 12:30,sl1|setup=vwap_reclaim|side=long|grade=A|size=half|score=5|window=midday|tier=core|rvol=1.509923|rs_vs_spy=2.502831|gap_atr=0.862632|ext_atr=0.027831|risk_atr=0.08,254.45,53,13485.85,-2.12,-0.02,0,44.52,0.33,-20.14,-0.15,-827.86,-3.31,6
34,Exit short,2025-11-11 09:55,sl1|exit_reason=trail|mfe_r=1.613962,244.83,21,5170.83,29.4,0.57,0,85.47,1.65,-19.74,-0.38,-798.46,-3.19,4
34,Entry short,2025-11-11 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.921186|rs_vs_spy=-0.873513|gap_atr=-0.40285|ext_atr=0.117035|risk_atr=0.19329,246.23,21,5170.83,29.4,0.57,0,85.47,1.65,-19.74,-0.38,-798.46,-3.19,4
35,Exit short,2025-11-12 10:00,sl1|exit_reason=stop|mfe_r=0.19584,244.01,21,5074.02,-50.19,-0.99,0,9.24,0.18,-50.19,-0.99,-848.65,-3.39,3
