Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-10-14 09:45,sl1|exit_reason=stop|mfe_r=0,128,42,5324.76,-51.24,-0.96,0,3.36,0.06,-51.24,-0.96,-51.24,-0.20,1
1,Entry short,2025-10-14 09:40,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=1.124166|rs_vs_spy=-3.267435|gap_atr=-0.392336|ext_atr=0.115351|risk_atr=0.125902,126.78,42,5324.76,-51.24,-0.96,0,3.36,0.06,-51.24,-0.96,-51.24,-0.20,1
2,Exit short,2025-10-14 15:45,sl1|exit_reason=be|mfe_r=0.996762,129.77,57,7394.61,-2.28,-0.03,0,59.28,0.80,-13.68,-0.18,-53.52,-0.21,2
2,Entry short,2025-10-14 15:35,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=power|tier=neutral|rvol=0.637722|rs_vs_spy=-2.441141|gap_atr=-0.392336|ext_atr=0.043308|risk_atr=0.093308,129.73,57,7394.61,-2.28,-0.03,0,59.28,0.80,-13.68,-0.18,-53.52,-0.21,2
3,Exit short,2025-10-15 10:10,sl1|exit_reason=stop|mfe_r=0.66368,130.57,56,7259.84,-52.08,-0.72,0,31.92,0.44,-52.08,-0.72,-105.6,-0.42,3
3,Entry short,2025-10-15 09:55,sl1|setup=orb_break|side=short|grade=B|size=half|score=3|window=open|tier=neutral|rvol=0.421157|rs_vs_spy=-1.921705|gap_atr=0.391273|ext_atr=0.090113|risk_atr=0.094778,129.64,56,7259.84,-52.08,-0.72,0,31.92,0.44,-52.08,-0.72,-105.6,-0.42,3
4,Exit short,2025-10-16 10:15,sl1|exit_reason=time|mfe_r=0.284148,127.07,13,1617.2,-34.71,-2.15,0,13.52,0.84,-34.84,-2.15,-140.31,-0.56,6
4,Entry short,2025-10-16 09:45,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.646288|rs_vs_spy=-2.794341|gap_atr=0.235946|ext_atr=0.318091|risk_atr=0.396479,124.4,13,1617.2,-34.71,-2.15,0,13.52,0.84,-34.84,-2.15,-140.31,-0.56,6
5,Exit short,2025-10-17 09:45,sl1|exit_reason=stop|mfe_r=0,117.29,61,7102.23,-52.46,-0.74,0,0,0.00,-52.46,-0.74,-192.77,-0.77,1
5,Entry short,2025-10-17 09:40,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=1.017413|rs_vs_spy=-1.233314|gap_atr=-0.536466|ext_atr=0.199502|risk_atr=0.087329,116.43,61,7102.23,-52.46,-0.74,0,0,0.00,-52.46,-0.74,-192.77,-0.77,1
6,Exit short,2025-10-20 10:25,sl1|exit_reason=trail|mfe_r=3.18762,109.48,25,2842,105,3.69,0,154,5.42,-17.75,-0.62,-87.77,-0.35,10
