Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-09-25 10:01,sl1|exit_reason=target,157.59,149,23334.89,146.02,0.63,0,146.02,0.63,-31.29,-0.13,146.02,0.15,13
1,Entry long,2025-09-25 09:48,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1758808020000:long|bars_to_confirm=1|signal_close=156.63|trigger=156.47|stop=155.96|target_r=1.5|risk_ps=0.67|atr=0.50878|vwap_dist_atr=0.692914|tick=0.01,156.61,149,23334.89,146.02,0.63,0,146.02,0.63,-31.29,-0.13,146.02,0.15,13
2,Exit long,2025-09-25 11:44,sl1|exit_reason=target,157.81,279,43889.49,139.5,0.32,0,139.5,0.32,-55.8,-0.13,285.52,0.29,8
2,Entry long,2025-09-25 11:36,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1758814500000:long|bars_to_confirm=1|signal_close=157.338|trigger=157.3299|stop=156.98|target_r=1.5|risk_ps=0.358|atr=0.237297|vwap_dist_atr=0.647001|tick=0.01,157.31,279,43889.49,139.5,0.32,0,139.5,0.32,-55.8,-0.13,285.52,0.29,8
3,Exit long,2025-09-26 10:45,sl1|exit_reason=stop,157.17,487,76653.8,-112.01,-0.15,0,87.66,0.11,-112.01,-0.15,173.51,0.17,3
3,Entry long,2025-09-26 10:42,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1758897660000:long|bars_to_confirm=1|signal_close=157.385|trigger=157.3799|stop=157.18|target_r=1.5|risk_ps=0.205|atr=0.303924|vwap_dist_atr=0.238575|tick=0.01,157.4,487,76653.8,-112.01,-0.15,0,87.66,0.11,-112.01,-0.15,173.51,0.17,3
4,Exit long,2025-09-26 11:13,sl1|exit_reason=time,157.11,164,25826.72,-60.68,-0.23,0,141.04,0.55,-68.88,-0.27,112.83,0.11,20
4,Entry long,2025-09-26 10:53,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1758898320000:long|bars_to_confirm=1|signal_close=157.4097|trigger=157.39|stop=156.8|target_r=1.5|risk_ps=0.6097|atr=0.312725|vwap_dist_atr=0.335111|tick=0.01,157.48,164,25826.72,-60.68,-0.23,0,141.04,0.55,-68.88,-0.27,112.83,0.11,20
5,Exit short,2025-09-29 11:56,sl1|exit_reason=time,163.58,317,51918.26,63.4,0.12,0,117.29,0.23,-38.04,-0.07,176.23,0.18,20
5,Entry short,2025-09-29 11:36,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1759160100000:short|bars_to_confirm=1|signal_close=163.815|trigger=163.83|stop=164.13|target_r=1.5|risk_ps=0.315|atr=0.218854|vwap_dist_atr=0.830373|tick=0.01,163.78,317,51918.26,63.4,0.12,0,117.29,0.23,-38.04,-0.07,176.23,0.18,20
6,Exit short,2025-09-29 14:56,sl1|exit_reason=target,163.39,500,81860,165,0.20,0,165,0.20,-20,-0.02,341.23,0.34,1
6,Entry short,2025-09-29 14:55,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1759172040000:short|bars_to_confirm=1|signal_close=163.74|trigger=163.77|stop=163.94|target_r=1.5|risk_ps=0.2|atr=0.128591|vwap_dist_atr=0.730813|tick=0.01,163.72,500,81860,165,0.20,0,165,0.20,-20,-0.02,341.23,0.34,1
7,Exit short,2025-09-30 11:06,sl1|exit_reason=stop,167.16,238,39676.98,-107.1,-0.27,0,23.8,0.06,-107.1,-0.27,234.13,0.23,11
7,Entry short,2025-09-30 10:55,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1759243980000:short|bars_to_confirm=2|signal_close=166.73|trigger=166.9|stop=167.15|target_r=1.5|risk_ps=0.42|atr=0.291571|vwap_dist_atr=0.888116|tick=0.01,166.71,238,39676.98,-107.1,-0.27,0,23.8,0.06,-107.1,-0.27,234.13,0.23,11
8,Exit long,2025-10-01 09:44,sl1|exit_reason=target,168.8,140,23489.2,142.8,0.61,0,142.8,0.61,-1.4,-0.01,376.93,0.38,5
8,Entry long,2025-10-01 09:39,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1759325880000:long|bars_to_confirm=1|signal_close=167.8098|trigger=167.6899|stop=167.1|target_r=1.5|risk_ps=0.7098|atr=0.564842|vwap_dist_atr=0.729923|tick=0.01,167.78,140,23489.2,142.8,0.61,0,142.8,0.61,-1.4,-0.01,376.93,0.38,5
9,Exit short,2025-10-02 09:39,sl1|exit_reason=target,183.66,142,26221.72,142,0.54,0,142,0.54,-5.68,-0.02,518.93,0.52,0
9,Entry short,2025-10-02 09:39,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1759412280000:short|bars_to_confirm=1|signal_close=184.71|trigger=184.82|stop=185.41|target_r=1.5|risk_ps=0.7|atr=0.582376|vwap_dist_atr=0.631866|tick=0.01,184.66,142,26221.72,142,0.54,0,142,0.54,-5.68,-0.02,518.93,0.52,0
10,Exit short,2025-10-02 14:11,sl1|exit_reason=time,182.97,416,76182.08,66.56,0.09,0,141.44,0.19,-83.2,-0.11,585.49,0.59,20
10,Entry short,2025-10-02 13:51,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1759427340000:short|bars_to_confirm=2|signal_close=183.17|trigger=183.1717|stop=183.41|target_r=1.5|risk_ps=0.24|atr=0.174549|vwap_dist_atr=0.961745|tick=0.01,183.13,416,76182.08,66.56,0.09,0,141.44,0.19,-83.2,-0.11,585.49,0.59,20
11,Exit long,2025-10-03 10:19,sl1|exit_reason=target,189.26,147,27668.34,152.88,0.55,0,152.88,0.55,-76.44,-0.28,738.37,0.74,10
