Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-02-02 10:10,TP1,87.06,1,86.41,-0.35,-0.40,0.15,0.17,-1.33,-1.53,-0.35,0.00,3
1,Entry long,2026-02-02 09:55,Long,86.41,1,86.41,-0.35,-0.40,0.15,0.17,-1.33,-1.53,-0.35,0.00,3
2,Exit long,2026-02-03 08:00,TP1,90.94,1,90.81,-0.87,-0.95,0,0.00,-0.59,-0.65,-1.22,0.00,5
2,Entry long,2026-02-03 07:35,Long,90.81,1,90.81,-0.87,-0.95,0,0.00,-0.59,-0.65,-1.22,0.00,5
3,Exit long,2026-02-04 07:05,TP1,89.14,1,89.63,-1.49,-1.65,0,0.00,-0.99,-1.10,-2.71,-0.01,1
3,Entry long,2026-02-04 07:00,Long,89.63,1,89.63,-1.49,-1.65,0,0.00,-0.99,-1.10,-2.71,-0.01,1
4,Exit long,2026-02-05 09:55,TP1,78.22,1,80.52,-3.3,-4.07,0,0.00,-2.8,-3.46,-6.01,-0.01,2
4,Entry long,2026-02-05 09:45,Long,80.52,1,80.52,-3.3,-4.07,0,0.00,-2.8,-3.46,-6.01,-0.01,2
5,Exit short,2026-02-05 13:25,TP1,76.44,1,76.98,-0.46,-0.59,0.18,0.23,-0.53,-0.68,-6.47,-0.01,1
5,Entry short,2026-02-05 13:20,Short,76.98,1,76.98,-0.46,-0.59,0.18,0.23,-0.53,-0.68,-6.47,-0.01,1
6,Exit long,2026-02-06 09:25,TP1,78.73,1,78.43,-0.7,-0.89,0,0.00,-0.84,-1.06,-7.17,-0.01,1
6,Entry long,2026-02-06 09:20,Long,78.43,1,78.43,-0.7,-0.89,0,0.00,-0.84,-1.06,-7.17,-0.01,1
7,Exit long,2026-02-06 09:50,TP1,79.67,1,79.1,-0.43,-0.54,0.07,0.09,-0.97,-1.22,-7.6,-0.02,1
7,Entry long,2026-02-06 09:45,Long,79.1,1,79.1,-0.43,-0.54,0.07,0.09,-0.97,-1.22,-7.6,-0.02,1
8,Exit long,2026-02-10 12:30,TP1,94.5,1,94.11,-0.61,-0.64,0,0.00,-0.7,-0.74,-8.21,-0.02,1
8,Entry long,2026-02-10 12:25,Long,94.11,1,94.11,-0.61,-0.64,0,0.00,-0.7,-0.74,-8.21,-0.02,1
9,Exit long,2026-02-11 15:10,TP1,88.6,1,89.92,-2.32,-2.57,0,0.00,-1.82,-2.01,-10.53,-0.02,9
9,Entry long,2026-02-11 14:25,Long,89.92,1,89.92,-2.32,-2.57,0,0.00,-1.82,-2.01,-10.53,-0.02,9
