"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"7/13/2026","7/13/2026","7/14/2026","RKLB","Rocket Lab Corporation
CUSIP: 773121108
Recurring","Buy","0.131441","$76.08","($10.00)"
"7/13/2026","7/13/2026","7/14/2026","AUR","Aurora Innovation
CUSIP: 051774107
Recurring","Buy","0.829875","$6.02","($5.00)"
"7/13/2026","7/13/2026","7/13/2026","","Interest on Contribution (IRA Match)","MTCH","","","$0.15"
"7/13/2026","7/13/2026","7/14/2026","","Current Year Contribution","CFIR","","","$15.00"
"7/13/2026","7/13/2026","7/14/2026","AAPL","AAPL 7/17/2026 Put $315.00","STC","1","$2.85","$284.94"
"7/13/2026","7/13/2026","7/14/2026","AAPL","AAPL 7/17/2026 Put $315.00","STC","1","$2.91","$290.94"
"7/13/2026","7/13/2026","7/14/2026","AAPL","AAPL 7/17/2026 Put $315.00","STC","1","$2.49","$248.94"
"7/13/2026","7/13/2026","7/14/2026","AAPL","AAPL 7/17/2026 Put $315.00","STC","1","$2.64","$263.94"
"7/13/2026","7/13/2026","7/14/2026","AAPL","AAPL 7/17/2026 Put $315.00","STC","1","$2.23","$222.94"
"7/13/2026","7/13/2026","7/14/2026","AAPL","AAPL 7/17/2026 Put $315.00","BTO","5","$1.78","($890.20)"
"7/13/2026","7/13/2026","7/14/2026","AAPL","AAPL 8/7/2026 Put $300.00","BTO","2","$2.90","($580.08)"
"7/10/2026","7/10/2026","7/13/2026","SPXW","SPXW 7/10/2026 Put $7,535.00","STC","1","$10.00","$998.87"
"7/10/2026","7/10/2026","7/13/2026","SPXW","SPXW 7/10/2026 Put $7,535.00","STC","1","$10.00","$998.87"
"7/10/2026","7/10/2026","7/13/2026","SPXW","SPXW 7/10/2026 Put $7,535.00","STC","2","$13.30","$2,657.74"
"7/10/2026","7/10/2026","7/13/2026","SPXW","SPXW 7/10/2026 Put $7,535.00","STC","1","$15.60","$1,558.87"
"7/10/2026","7/10/2026","7/13/2026","SPXW","SPXW 7/10/2026 Put $7,535.00","BTO","5","$9.50","($4,755.65)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Call $7,540.00","STC","2","$2.85","$567.74"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Call $7,540.00","STC","4","$2.85","$1,135.48"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Call $7,540.00","STC","1","$2.85","$283.87"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Call $7,540.00","STC","1","$2.85","$283.87"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Call $7,540.00","STC","2","$2.85","$567.74"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Call $7,540.00","BTO","3","$2.40","($723.39)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Call $7,540.00","BTO","5","$2.40","($1,205.65)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Call $7,540.00","BTO","1","$2.40","($241.13)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Call $7,540.00","BTO","1","$2.40","($241.13)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","STC","1","$3.50","$348.87"
